goods_id,goods_image,goods_name,goods_price,id,sales_volume,attr_name,example_img,counter_price,engName,chiName,name,code,sub_name
z3z,https://img.xinxinapp.net/community/imgs/20190614/a955eeee91b958705238852fdc93d959_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GUERLAIN/娇兰 亲亲唇膏彩色壳限量版3.5g  #325,--,dznn,7.0,,,,GUERLAIN,娇兰,亲亲唇膏彩色壳限量版,, 
z3z,https://img.xinxinapp.net/community/imgs/20190614/6ce06159120d643ce4061e0ad558fe85_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GUERLAIN/娇兰 亲亲唇膏彩色壳限量版3.5g #361,--,e3X2,7.0,,,,GUERLAIN,娇兰,亲亲唇膏彩色壳限量版,361,
z3z,https://img.xinxinapp.net/community/imgs/20190614/96f71fb73349b256f8e1582287c90a4e_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GUERLAIN/娇兰 亲亲唇膏彩色壳限量版3.5g #371,--,glnE,7.0,,,,GUERLAIN,娇兰,亲亲唇膏彩色壳限量版,371,
1Qq,https://img.xinxinapp.net/community/imgs/20190906/097366c5e74b2c49b1c77f12f9ba2aba_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 碎花唇膏3.5g #403/Love Before Breakfast,--,Dzn5,61.0,,,,Gucci,古驰,碎花唇膏,403,Love Before Breakfast
1Qq,https://img.xinxinapp.net/community/imgs/20190906/83f163d5df50d20ab03f5119ca3763b0_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 碎花唇膏3.5g #603/Marina Violet,--,Y2Rx,61.0,,,,Gucci,古驰,碎花唇膏,603,Marina Violet
1Qq,https://img.xinxinapp.net/community/imgs/20190906/846d81a515e740bf736f29cceb253b47_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 碎花唇膏3.5g #110/Marguerite Jade,--,vO1B,61.0,,,,Gucci,古驰,碎花唇膏,110,Marguerite Jade
1Qq,https://img.xinxinapp.net/community/imgs/20190906/44f852113e8894c50f8c965ee60cab86_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 碎花唇膏3.5g #205/Hold Your Man,--,BzE8,61.0,,,,Gucci,古驰,碎花唇膏,205,Hold Your Man
1Qq,https://img.xinxinapp.net/community/imgs/20190906/f87cb319908aed19af36e4d3186f7b77_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 碎花唇膏3.5g #401/Three Wise Girls,--,RNGP,61.0,,,,Gucci,古驰,碎花唇膏,401,Three Wise Girls
1Qq,https://img.xinxinapp.net/community/imgs/20190906/606b6657520e605233f0bedd2b34e422_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 碎花唇膏3.5g #406/Millicent Rose,--,EGE0,61.0,,,,Gucci,古驰,碎花唇膏,406,Millicent Rose
1Qq,https://img.xinxinapp.net/community/imgs/20190906/b7a6961a767abfd1aa5d9cb8f8af41a0_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 碎花唇膏3.5g #206/Katrin Sand,--,xYnK,61.0,,,,Gucci,古驰,碎花唇膏,206,Katrin Sand
