goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,engName,chiName,Name,size
GK0,https://img.xinxinapp.net/community/imgs/20190612/05770ef5f444c73c7f1181b313da9eb2_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHANEL/香奈儿 蔚蓝男士淡香水 100ml,695,xinxin://www.xinxinapp.cn?route=goodsDetail&id=BGy1&goods_id=GK0&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,BGy1,20.0,CHANEL,香奈儿,蔚蓝男士淡香水,100.0
7mX,https://img.xinxinapp.net/community/imgs/20190610/055b8b3fc24a1593cc0ce5b3b93ba220_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,LANCÔME/兰蔻 奇迹（真爱奇迹）香水 30ml,218,xinxin://www.xinxinapp.cn?route=goodsDetail&id=k8B&goods_id=7mX&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,k8B,27.0,LANCÔME,兰蔻,奇迹（真爱奇迹）香水,30.0
32l,https://img.xinxinapp.net/community/imgs/20190612/2fa03e9eac4a58336132637a0d840482_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,BURBERRY/博柏利 London 伦敦女士香水（新伦敦） 100ml,320,xinxin://www.xinxinapp.cn?route=goodsDetail&id=P7o6&goods_id=32l&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,P7o6,11.0,BURBERRY,博柏利,London 伦敦女士香水（新伦敦）,100.0
yEL,https://img.xinxinapp.net/community/imgs/20190612/1d1b9f38510135df758905c56eb79c26_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,BURBERRY/博柏利 London 伦敦男士淡香水（新伦敦） 50ml,257,xinxin://www.xinxinapp.cn?route=goodsDetail&id=AGoA&goods_id=yEL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,AGoA,27.0,BURBERRY,博柏利,London 伦敦男士淡香水（新伦敦）,50.0
vJE,https://img.xinxinapp.net/community/imgs/20190611/062701b1d56445d4e12dbd5507d25e3e_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 甜心小姐香水 100ml（淡香）,820,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Qaq0&goods_id=vJE&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Qaq0,12.0,DIOR,迪奥,甜心小姐香水,100.0
N1P,https://img.xinxinapp.net/community/imgs/20190725/7c4360781775746dbdded3f063b4bafe_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 罪爱（原罪）女士香水 50ml,289,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Z3eo&goods_id=N1P&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Z3eo,66.0,Gucci,古驰,罪爱（原罪）女士香水,50.0
1Jg,https://img.xinxinapp.net/community/imgs/20190614/b551a61a9c6486643efbe70d4ec48c4a_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,HERMÈS/爱马仕 李先生的花园香水 100ml,582,xinxin://www.xinxinapp.cn?route=goodsDetail&id=v25y&goods_id=1Jg&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,v25y,3.0,HERMÈS,爱马仕,李先生的花园香水,100.0
zpo,https://img.xinxinapp.net/community/imgs/20190624/f8b5afa232cf42ffae8f87b34eb0dc0f_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ANNA SUI/安娜苏 安娜苏许愿精灵女士淡香水 30ml,147,xinxin://www.xinxinapp.cn?route=goodsDetail&id=yagy&goods_id=zpo&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,yagy,65.0,ANNA SUI,安娜苏,安娜苏许愿精灵女士淡香水,30.0
27Z,https://img.xinxinapp.net/community/imgs/20190610/328a9e7fae2d111a0c32af1837ee851c_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,BVLGARI/宝格丽 甜蜜宝贝女士淡香水 100ml,281,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Z3mP&goods_id=27Z&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Z3mP,14.0,BVLGARI,宝格丽,甜蜜宝贝女士淡香水,100.0
RPn,https://img.xinxinapp.net/community/imgs/20190612/9f77891e6b7f13318928745f9c655ba5_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,VERSACE/范思哲 同名经典男士香水 50ml,274,xinxin://www.xinxinapp.cn?route=goodsDetail&id=pk3v&goods_id=RPn&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,pk3v,54.0,VERSACE,范思哲,同名经典男士香水,50.0
qrJ,https://img.xinxinapp.net/community/imgs/20190617/c7e27864197e8da5797f0daa9110e11d_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHANEL/香奈儿 绿邂逅清新淡香水 50ml,545,xinxin://www.xinxinapp.cn?route=goodsDetail&id=P5yy&goods_id=qrJ&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,P5yy,13.0,CHANEL,香奈儿,绿邂逅清新淡香水,50.0
d70,https://img.xinxinapp.net/community/imgs/20190610/51497c8373236700324004fd52cd0d82_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Gucci/古驰 绚丽栀子花香水 100ml,494,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Dgoe&goods_id=d70&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Dgoe,20.0,Gucci,古驰,绚丽栀子花香水,100.0
32l,https://img.xinxinapp.net/community/imgs/20190612/73cdb031ad1d2f1015b404581bf59b4e_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,BURBERRY/博柏利 London 伦敦女士香水（新伦敦） 30ml,160,xinxin://www.xinxinapp.cn?route=goodsDetail&id=5XKl&goods_id=32l&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,5XKl,11.0,BURBERRY,博柏利,London 伦敦女士香水（新伦敦）,30.0
Q5K,https://img.xinxinapp.net/community/imgs/20190621/4a375896342734ac7d0b9e5e91ad119d_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 反转巴黎女士浓香水 50ml,479,xinxin://www.xinxinapp.cn?route=goodsDetail&id=lO9l&goods_id=Q5K&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,lO9l,58.0,YSL,圣罗兰,反转巴黎女士浓香水,50.0
rxp,https://img.xinxinapp.net/community/imgs/20190612/52aa2d04b181d7d544e429a902914088_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Miu Miu/缪缪 莹铃（银粉之花）女士香水（粉盖） 30ml,458,xinxin://www.xinxinapp.cn?route=goodsDetail&id=bd5N&goods_id=rxp&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,bd5N,0.0,Miu Miu,缪缪,莹铃（银粉之花）女士香水（粉盖）,30.0
RPn,https://img.xinxinapp.net/community/imgs/20190612/bc5fea1e63c3fb294d41f32df75c8873_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,VERSACE/范思哲 同名经典男士香水 30ml,220,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Q3Ge&goods_id=RPn&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Q3Ge,54.0,VERSACE,范思哲,同名经典男士香水,30.0
rlA,https://img.xinxinapp.net/community/imgs/20190617/2ed2eda9f96f0a1d51ad0b52a1d6af41_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,Calvin Klein/卡文克莱 Free 自由男士香水 100ml,230,xinxin://www.xinxinapp.cn?route=goodsDetail&id=GVq&goods_id=rlA&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,GVq,19.0,Calvin Klein,卡文克莱,Free 自由男士香水,100.0
d1R,https://img.xinxinapp.net/community/imgs/20190612/720a62e5e24bca81bdde098aee13fe8a_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,VERSACE/范思哲 爱神（爱罗斯 ）男士香水 100ml,390,xinxin://www.xinxinapp.cn?route=goodsDetail&id=JDbr&goods_id=d1R&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,JDbr,6.0,VERSACE,范思哲,爱神（爱罗斯 ）男士香水,100.0
