goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
V2L,https://img.xinxinapp.net/community/imgs/20190611/0f120ba5b62fd5731a449a06cfe4f11b_430x430.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CANMAKE/井田 棉花糖粉饼10g #ML/象牙白,90,xinxin://www.xinxinapp.cn?route=goodsDetail&id=oAmR&goods_id=V2L&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,oAmR,49.0,#ML/象牙白,https://img.xinxinapp.net/community/imgs/20190611/c8efba59c26817256961974071f6aab1_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,166.0,90,90.0
bxbr,https://img.xinxinapp.net/community/imgs/20191025/3731385a5013fe3fa5a8055e6c97fc91_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAKE UP FOR EVER/浮生若梦 丝绒无瑕持妆粉饼 R210 瓷白色,311,xinxin://www.xinxinapp.cn?route=goodsDetail&id=AagJ&goods_id=bxbr&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,AagJ,6.0,R210 瓷白色,https://img.xinxinapp.net/community/imgs/20191025/b51c2305f4386edd4d8fddc71178b7ec_400x400.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,430.0,311,311.0
21q,https://img.xinxinapp.net/community/imgs/20190612/8ee68df2784dfab08794fe545650fe77_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GUERLAIN/娇兰 金钻粉饼10g #00  ,458,xinxin://www.xinxinapp.cn?route=goodsDetail&id=581L&goods_id=21q&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,581L,0.0,#00  ,https://img.xinxinapp.net/community/imgs/20190612/7894c6e449fad3c966d4f5e2d3fd94cc_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,720.0,458,458.0
meA,https://img.xinxinapp.net/community/imgs/20190828/a124beebeb39eea6445dd726a44f97d1_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,MAKE UP FOR EVER/浮生若梦 HD高清晰无痕蜜粉 8.5g,220,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Kg88&goods_id=meA&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Kg88,12.0,8.5g,https://img.xinxinapp.net/community/imgs/20190828/41997ee3a3f5525b0f90c651d577e26b_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,330.0,220,220.0
Vel,https://img.xinxinapp.net/community/imgs/20190814/be787cdc565e6116cfb0864cd73da655_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CLUB 晚安素颜粉26g 白色花香,95,xinxin://www.xinxinapp.cn?route=goodsDetail&id=eZE2&goods_id=Vel&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,eZE2,6.0,,,,,
Dp5,https://img.xinxinapp.net/community/imgs/20190610/b43c58a90bb969287eb85c1757b0b06d_1047x1047.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 凝脂粉饼9g #020/浅米色,322,xinxin://www.xinxinapp.cn?route=goodsDetail&id=q6xJ&goods_id=Dp5&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,q6xJ,26.0,#020/浅米色,https://img.xinxinapp.net/community/imgs/20190610/a5853967b0bca2e63cd20634ef6707a8_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,570.0,322,375.0
V2L,https://img.xinxinapp.net/community/imgs/20190611/3c784e7f698877d35500e2c429704f02_430x430.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CANMAKE/井田 棉花糖粉饼10g #PL/薰衣草紫,120,xinxin://www.xinxinapp.cn?route=goodsDetail&id=7Qr3&goods_id=V2L&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,7Qr3,49.0,#PL/薰衣草紫,https://img.xinxinapp.net/community/imgs/20190611/8525b4341fb7ef5d3a0257c8735318c5_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,166.0,120,120.0
Awb,https://img.xinxinapp.net/community/imgs/20190724/64fbc928a704b66ff41d48cee5d1e559_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 四色四宫格散粉4*3g #10,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=AzDk&goods_id=Awb&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,AzDk,692.0,#10,https://img.xinxinapp.net/community/imgs/20190724/5a6e98664dda745c01b11f41693d8392_750x750.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,535.0,--,0.0
V2L,https://img.xinxinapp.net/community/imgs/20190611/2ea4918e8c61ad4cb3bd6eb949f3430e_458x458.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CANMAKE/井田 棉花糖粉饼10g #MP/珠光色,--,xinxin://www.xinxinapp.cn?route=goodsDetail&id=wZma&goods_id=V2L&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,wZma,49.0,#MP/珠光色,https://img.xinxinapp.net/community/imgs/20190611/4cbe637e28b26076bd9a81ecd7b8e76b_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,166.0,--,0.0
ZaV,https://img.xinxinapp.net/community/imgs/20190912/e32cd38663dc03698cf604b53a786007_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 蘑菇头散粉 #1（两件装）,480,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Gzym&goods_id=ZaV&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22feed%22%2C%22from_url_id%22%3A%22%22%7D,Gzym,6.0,#1（两件装）,,670.0,480,480.0
