goods_id,goods_image,goods_name,goods_price,href,id,sales_volume,attr_name,example_img,counter_price,xinxin_price,bid_price_min
aEL,https://img.xinxinapp.net/community/imgs/20190613/5171e9fa27b13aa4e391870c5051dc69_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 莹亮纯魅圆管唇膏 #83,171,xinxin://www.xinxinapp.cn?route=goodsDetail&id=y7Gv&goods_id=aEL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,y7Gv,825.0,#83,https://img.xinxinapp.net/community/imgs/20190613/081c6aec87bcbadb4dd29002639be780_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,320.0,171,171.0
3G5,https://img.xinxinapp.net/community/imgs/20190625/516fea830e9ced6a2a642b4eb3c1a808_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 黑管唇釉5.5ml #401/Rouge Vinyle车厘子色,155,xinxin://www.xinxinapp.cn?route=goodsDetail&id=ob7k&goods_id=3G5&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,ob7k,1567.0,,,,,
vxL,https://img.xinxinapp.net/community/imgs/20190717/cbf1d66d009a8c30d8cebec36f3a3401_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 烈焰蓝金唇膏口红3.5g #999/Metallic金属版,155,xinxin://www.xinxinapp.cn?route=goodsDetail&id=Azpk&goods_id=vxL&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,Azpk,2210.0,#999/Metallic金属版热卖,https://img.xinxinapp.net/community/imgs/20190717/5ed752b7209239637c552a193ef2f047_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,315.0,155,155.0
5kn,https://img.xinxinapp.net/community/imgs/20190624/0c6270c9db5b52d350b393c2f58f670c_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,DIOR/迪奥 黑管漆光唇釉口红唇膏 #740/Club,180,xinxin://www.xinxinapp.cn?route=goodsDetail&id=E02q&goods_id=5kn&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,E02q,256.0,#740/Club热卖,https://img.xinxinapp.net/community/imgs/20190624/cda7755ce12ca4febb5e1c08f33adf52_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,315.0,180,180.0
wrk,https://img.xinxinapp.net/community/imgs/20190612/9fd8cbef2208b718750751d8fd49cc52_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,ARMANI/乔治阿玛尼 红管唇釉 #400/The Red,190,xinxin://www.xinxinapp.cn?route=goodsDetail&id=KGz8&goods_id=wrk&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,KGz8,1890.0,#400/The Red热卖,https://img.xinxinapp.net/community/imgs/20190612/c62a38cdc44a81db6c95fc975f670faa_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,310.0,190,190.0
N7Y,https://img.xinxinapp.net/community/imgs/20190610/c38ac7a47e0f4851396b1c519ca0c079_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,CHANEL/香奈儿 炫亮魅力丝绒哑光唇膏3.5g #58/Rouge Vie,268,xinxin://www.xinxinapp.cn?route=goodsDetail&id=rZl&goods_id=N7Y&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,rZl,158.0,#58/Rouge Vie热卖,https://img.xinxinapp.net/community/imgs/20190610/9e9104195bc05e2669a29bdf21e79de2_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,320.0,268,268.0
Dee,https://img.xinxinapp.net/community/imgs/20190613/4c6d34c178f8f0e2cd0c7987a3b11f98_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 小金条方管细管唇膏2.2g #9/Red Enigma,209,xinxin://www.xinxinapp.cn?route=goodsDetail&id=n7XY&goods_id=Dee&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,n7XY,659.0,#9/Red Enigma,https://img.xinxinapp.net/community/imgs/20190613/18fb06f227e4c32f093ecfb7b98ae649_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,335.0,209,209.0
kOx,https://img.xinxinapp.net/community/imgs/20190610/94ab865fd0f10d99f580836ea2b34d7e_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 小羊皮唇膏3.4g N°305,163,xinxin://www.xinxinapp.cn?route=goodsDetail&id=VZga&goods_id=kOx&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,VZga,994.0,N°305热卖,https://img.xinxinapp.net/community/imgs/20190610/8a59d32c734c538f5f7d9ae788602a7a_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,345.0,163,163.0
bPE,https://img.xinxinapp.net/community/imgs/20190808/62a41c0662b64237dc7a1aedce713fe5_750x750.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,YSL/圣罗兰 黑管水光唇釉 N617/玫瑰豆沙色,185,xinxin://www.xinxinapp.cn?route=goodsDetail&id=AzBl&goods_id=bPE&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,AzBl,287.0,N617/玫瑰豆沙色,https://img.xinxinapp.net/community/imgs/20190808/df8f8a9f0ffdae956cd5f898181ccf03_100x100.jpeg?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,320.0,185,185.0
kOx,https://img.xinxinapp.net/community/imgs/20191008/8ef1d1af1cd425194503ca3461e90239_800x800.jpeg?imageView2/0/w/600/h/600/interlace/1%7cimageMogr2/format/jpg,GIVENCHY/纪梵希 小羊皮唇膏3.4g N°333/L'interdit,227,xinxin://www.xinxinapp.cn?route=goodsDetail&id=5gNN&goods_id=kOx&flag=2#%7B%22from%22%3A%22tradeGoodsList%22%2C%22block%22%3A%22transform%22%2C%22from_url_id%22%3A%22%22%7D,5gNN,994.0,N°333/L'interdit,https://img.xinxinapp.net/community/imgs/20191008/0888ba72f1c9058667c04783c529cbfe_86x87.png?imageView2/0/w/200/h/200/interlace/1%7cimageMogr2/format/jpg,345.0,227,227.0
